variant,model,train_years,test_years,group,rmse_x,mae_x,mean_x,n_test,relative_rmse
baseline_real_national_nonfood,AIDADS_sat,2015-2020,2021-2023,dairyegg,0.012510782831090965,0.010182088047707295,0.03365878952849487,93,0.3716943777939365
baseline_real_national_nonfood,AIDADS_sat,2015-2020,2021-2023,grain,0.07165017000929236,0.057788283031006166,0.4202893830904221,93,0.17047818215735744
baseline_real_national_nonfood,AIDADS_sat,2015-2020,2021-2023,nonfood,3.9470656785488596,3.265127977344626,727.9238621383682,93,0.005422360611937979
baseline_real_national_nonfood,AIDADS_sat,2015-2020,2021-2023,nonpork_meatsea,0.018968576431821184,0.014724477054563496,0.045447207536296316,93,0.4173760602710732
baseline_real_national_nonfood,AIDADS_sat,2015-2020,2021-2023,oil,0.03181874571364838,0.025290461598128772,0.1288846674059655,93,0.24687766476849077
baseline_real_national_nonfood,AIDADS_sat,2015-2020,2021-2023,pork,0.05430832670995034,0.045312989702020245,0.12509815587410958,93,0.4341257177651972
baseline_real_national_nonfood,AIDADS_sat,2015-2020,2021-2023,vegfruit,0.011897970584682324,0.009809955263079474,0.05503836229796534,93,0.21617595596811878
baseline_real_national_nonfood,MAIDADS_sat,2015-2020,2021-2023,dairyegg,0.01027120205842281,0.008175331569708625,0.03365878952849487,93,0.3051566084908494
baseline_real_national_nonfood,MAIDADS_sat,2015-2020,2021-2023,grain,0.059322353864042214,0.05056285658462658,0.4202893830904221,93,0.14114644873453647
baseline_real_national_nonfood,MAIDADS_sat,2015-2020,2021-2023,nonfood,3.678156667803272,3.0590954765784657,727.9238621383682,93,0.005052941466980108
baseline_real_national_nonfood,MAIDADS_sat,2015-2020,2021-2023,nonpork_meatsea,0.01737713264790922,0.013016967309605143,0.045447207536296316,93,0.382358644016379
baseline_real_national_nonfood,MAIDADS_sat,2015-2020,2021-2023,oil,0.031065837975837146,0.025068673455248842,0.1288846674059655,93,0.2410359478834272
baseline_real_national_nonfood,MAIDADS_sat,2015-2020,2021-2023,pork,0.05096464571563695,0.042046270430956295,0.12509815587410958,93,0.4073972582531461
baseline_real_national_nonfood,MAIDADS_sat,2015-2020,2021-2023,vegfruit,0.010058769938589462,0.007937325101581493,0.05503836229796534,93,0.18275925224906836
baseline_real_national_nonfood,AIDADS_sat,2015-2022,2023,dairyegg,0.010858192348826214,0.00825072336208061,0.03487623368244979,31,0.31133500387945295
baseline_real_national_nonfood,AIDADS_sat,2015-2022,2023,grain,0.06667932666940843,0.054504894481689756,0.4046680667811247,31,0.16477536070439106
baseline_real_national_nonfood,AIDADS_sat,2015-2022,2023,nonfood,3.7160183043334265,3.1515105547994775,745.9276446072297,31,0.004981740965358787
baseline_real_national_nonfood,AIDADS_sat,2015-2022,2023,nonpork_meatsea,0.017717876920510498,0.013502993986657745,0.047461423332015425,31,0.3733111161998967
baseline_real_national_nonfood,AIDADS_sat,2015-2022,2023,oil,0.03210197225982385,0.026872794767363886,0.12638537057445864,31,0.2540006973426667
baseline_real_national_nonfood,AIDADS_sat,2015-2022,2023,pork,0.05798032764211965,0.049038928195939226,0.13618844860265755,31,0.42573601679891837
baseline_real_national_nonfood,AIDADS_sat,2015-2022,2023,vegfruit,0.010163675133949,0.00794202053239208,0.056314327533170526,31,0.18048115957635016
baseline_real_national_nonfood,MAIDADS_sat,2015-2022,2023,dairyegg,0.010522735102509177,0.00803624066629155,0.03487623368244979,31,0.3017164983558521
baseline_real_national_nonfood,MAIDADS_sat,2015-2022,2023,grain,0.062081943094833954,0.05393294455846359,0.4046680667811247,31,0.15341448508318448
baseline_real_national_nonfood,MAIDADS_sat,2015-2022,2023,nonfood,3.5805522227193975,3.0584074835796837,745.9276446072297,31,0.004800133429301642
baseline_real_national_nonfood,MAIDADS_sat,2015-2022,2023,nonpork_meatsea,0.017516548417265392,0.013067618531738281,0.047461423332015425,31,0.369069176344096
baseline_real_national_nonfood,MAIDADS_sat,2015-2022,2023,oil,0.03109730501414113,0.02577596947125186,0.12638537057445864,31,0.24605146048782975
baseline_real_national_nonfood,MAIDADS_sat,2015-2022,2023,pork,0.05420415372753838,0.0425724485436257,0.13618844860265755,31,0.39800845287315106
baseline_real_national_nonfood,MAIDADS_sat,2015-2022,2023,vegfruit,0.009973472537042219,0.007843628397629367,0.056314327533170526,31,0.17710364260618397
robust_real_derived_cpi_nonfood,AIDADS_sat,2015-2020,2021-2023,dairyegg,0.013222445240170019,0.010734620815598058,0.03365878952849487,93,0.3928378122147309
robust_real_derived_cpi_nonfood,AIDADS_sat,2015-2020,2021-2023,grain,0.07084633515645103,0.05768681587467775,0.4202893830904221,93,0.16856560742865345
robust_real_derived_cpi_nonfood,AIDADS_sat,2015-2020,2021-2023,nonfood,3.9963406425820627,3.302349058990049,727.9026063779181,93,0.00549021339883376
robust_real_derived_cpi_nonfood,AIDADS_sat,2015-2020,2021-2023,nonpork_meatsea,0.018816887823458656,0.014583506378873774,0.045447207536296316,93,0.4140383720700681
robust_real_derived_cpi_nonfood,AIDADS_sat,2015-2020,2021-2023,oil,0.03186693873810347,0.025199365180252807,0.1288846674059655,93,0.24725158841220313
robust_real_derived_cpi_nonfood,AIDADS_sat,2015-2020,2021-2023,pork,0.054619556694507986,0.04559909907062705,0.12509815587410958,93,0.4366136040364452
