model,group,alpha,beta,delta,tau,omega,kappa,nll,success,message
AIDADS_sat,grain,0.45028863066876623,0.0,0.20514393101697836,0.20514393101697836,0.0,1.2610673674156492,-4247.479229601609,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
AIDADS_sat,oil,8.559403985648043e-05,0.0,0.1268574750854359,0.1268574750854359,0.0,1.2610673674156492,-4247.479229601609,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
AIDADS_sat,vegfruit,0.0016937945369542174,0.0,0.0516848494497742,0.0516848494497742,0.0,1.2610673674156492,-4247.479229601609,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
AIDADS_sat,pork,0.43529920239913833,0.0,0.044876140358803406,0.044876140358803406,0.0,1.2610673674156492,-4247.479229601609,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
AIDADS_sat,meatother,0.00039464516257547186,0.0,0.04286252850282096,0.04286252850282096,0.0,1.2610673674156492,-4247.479229601609,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
AIDADS_sat,dairyegg,0.10695143183587094,0.0,0.016505388603300763,0.016505388603300763,0.0,1.2610673674156492,-4247.479229601609,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
AIDADS_sat,nonfood,0.005286701356838149,1.0,14.126576993735256,14.126576993735256,0.0,1.2610673674156492,-4247.479229601609,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
MAIDADS_sat,grain,0.0039182159171122525,0.0,0.6746134635242146,0.0296423731796182,0.7050209092350966,4.910731446808447,-4481.55447249925,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
MAIDADS_sat,oil,0.0011674692684470087,0.0,0.1708267867279731,0.0728614827515829,0.7050209092350966,4.910731446808447,-4481.55447249925,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
MAIDADS_sat,vegfruit,0.017821213744471893,0.0,0.023760406361116593,0.05231253318543317,0.7050209092350966,4.910731446808447,-4481.55447249925,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
MAIDADS_sat,pork,0.025102886021455027,0.0,0.07683386209132886,0.0010238770837956413,0.7050209092350966,4.910731446808447,-4481.55447249925,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
MAIDADS_sat,meatother,0.0006140063583396289,0.0,0.032526639375897094,0.052968632220134426,0.7050209092350966,4.910731446808447,-4481.55447249925,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
MAIDADS_sat,dairyegg,0.009048192042542794,0.0,0.006991497094790376,0.00949586656719736,0.7050209092350966,4.910731446808447,-4481.55447249925,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
MAIDADS_sat,nonfood,0.9423280166476313,1.0,68.68419848139972,0.04109139146835511,0.7050209092350966,4.910731446808447,-4481.55447249925,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
