model,group,parameter,value,near_lower_boundary,near_upper_boundary,imposed_by_saturation
AIDADS_sat,grain,alpha,1.2060778215735112e-05,True,False,False
AIDADS_sat,grain,beta,0.0,True,False,True
AIDADS_sat,grain,delta,0.4188366829403788,False,False,False
AIDADS_sat,grain,tau,0.4188366829403788,False,False,False
AIDADS_sat,oil,alpha,8.356359555920621e-05,True,False,False
AIDADS_sat,oil,beta,0.0,True,False,True
AIDADS_sat,oil,delta,0.12787469163976947,False,False,False
AIDADS_sat,oil,tau,0.12787469163976947,False,False,False
AIDADS_sat,vegfruit,alpha,0.0031475049270121725,False,False,False
AIDADS_sat,vegfruit,beta,0.0,True,False,True
AIDADS_sat,vegfruit,delta,0.03810303832530133,False,False,False
AIDADS_sat,vegfruit,tau,0.03810303832530133,False,False,False
AIDADS_sat,meatsea,alpha,0.01304425167378882,False,False,False
AIDADS_sat,meatsea,beta,0.0,True,False,True
AIDADS_sat,meatsea,delta,0.04539392536593497,False,False,False
AIDADS_sat,meatsea,tau,0.04539392536593497,False,False,False
AIDADS_sat,dairyegg,alpha,0.0017053770662363995,False,False,False
AIDADS_sat,dairyegg,beta,0.0,True,False,True
AIDADS_sat,dairyegg,delta,0.00936024994150174,False,False,False
AIDADS_sat,dairyegg,tau,0.00936024994150174,False,False,False
AIDADS_sat,nonfood,alpha,0.9820072419591876,False,False,False
AIDADS_sat,nonfood,beta,1.0,False,True,True
AIDADS_sat,nonfood,delta,17.56561290179126,False,False,False
AIDADS_sat,nonfood,tau,17.56561290179126,False,False,False
AIDADS_sat,all,omega,0.0,True,False,False
AIDADS_sat,all,kappa,6.9402627007992015,False,False,False
MAIDADS_sat,grain,alpha,0.0014059915885785733,False,False,False
MAIDADS_sat,grain,beta,0.0,True,False,True
MAIDADS_sat,grain,delta,0.6765433707945667,False,False,False
MAIDADS_sat,grain,tau,0.0008106878568201358,False,False,False
MAIDADS_sat,oil,alpha,3.984624150228892e-06,True,False,False
MAIDADS_sat,oil,beta,0.0,True,False,True
MAIDADS_sat,oil,delta,0.1652266267213739,False,False,False
MAIDADS_sat,oil,tau,0.08450680952140796,False,False,False
MAIDADS_sat,vegfruit,alpha,0.003013545507539794,False,False,False
MAIDADS_sat,vegfruit,beta,0.0,True,False,True
MAIDADS_sat,vegfruit,delta,0.026649213414885735,False,False,False
MAIDADS_sat,vegfruit,tau,0.05646339613171984,False,False,False
MAIDADS_sat,meatsea,alpha,0.015868018842697514,False,False,False
MAIDADS_sat,meatsea,beta,0.0,True,False,True
MAIDADS_sat,meatsea,delta,0.07291067704451375,False,False,False
MAIDADS_sat,meatsea,tau,6.148862785830101e-06,True,False,False
MAIDADS_sat,dairyegg,alpha,0.0015960151242843334,False,False,False
MAIDADS_sat,dairyegg,beta,0.0,True,False,True
MAIDADS_sat,dairyegg,delta,1.0745220973281739e-05,True,False,False
MAIDADS_sat,dairyegg,tau,0.0286547246281079,False,False,False
MAIDADS_sat,nonfood,alpha,0.9781124443127496,False,False,False
MAIDADS_sat,nonfood,beta,1.0,False,True,True
MAIDADS_sat,nonfood,delta,0.0019515605537253388,False,False,False
MAIDADS_sat,nonfood,tau,1.4816319349744569,False,False,False
MAIDADS_sat,all,omega,0.6705107500072988,False,False,False
MAIDADS_sat,all,kappa,6.554502763440132,False,False,False
