model,group,parameter,value,near_lower_boundary,near_upper_boundary,imposed_by_saturation
AIDADS_sat,grain,alpha,0.07830614195113995,False,False,False
AIDADS_sat,grain,beta,0.0,True,False,True
AIDADS_sat,grain,delta,0.3406119404963265,False,False,False
AIDADS_sat,grain,tau,0.3406119404963265,False,False,False
AIDADS_sat,oil,alpha,0.0017865372155239125,False,False,False
AIDADS_sat,oil,beta,0.0,True,False,True
AIDADS_sat,oil,delta,0.1263207633488952,False,False,False
AIDADS_sat,oil,tau,0.1263207633488952,False,False,False
AIDADS_sat,vegfruit,alpha,0.0006537471543301311,False,False,False
AIDADS_sat,vegfruit,beta,0.0,True,False,True
AIDADS_sat,vegfruit,delta,0.05168876817956146,False,False,False
AIDADS_sat,vegfruit,tau,0.05168876817956146,False,False,False
AIDADS_sat,pork,alpha,0.3456929870230091,False,False,False
AIDADS_sat,pork,beta,0.0,True,False,True
AIDADS_sat,pork,delta,0.015273919452030027,False,False,False
AIDADS_sat,pork,tau,0.015273919452030027,False,False,False
AIDADS_sat,aquatic,alpha,0.14743553888640593,False,False,False
AIDADS_sat,aquatic,beta,0.0,True,False,True
AIDADS_sat,aquatic,delta,0.00011697673566397616,False,False,False
AIDADS_sat,aquatic,tau,0.00011697673566397616,False,False,False
AIDADS_sat,othermeat,alpha,0.016185117897640072,False,False,False
AIDADS_sat,othermeat,beta,0.0,True,False,True
AIDADS_sat,othermeat,delta,0.027707569789773814,False,False,False
AIDADS_sat,othermeat,tau,0.027707569789773814,False,False,False
AIDADS_sat,dairyegg,alpha,0.06855064713098871,False,False,False
AIDADS_sat,dairyegg,beta,0.0,True,False,True
AIDADS_sat,dairyegg,delta,0.012100891857239253,False,False,False
AIDADS_sat,dairyegg,tau,0.012100891857239253,False,False,False
AIDADS_sat,nonfood,alpha,0.34138928274096225,False,False,False
AIDADS_sat,nonfood,beta,1.0,False,True,True
AIDADS_sat,nonfood,delta,4.255093392450174,False,False,False
AIDADS_sat,nonfood,tau,4.255093392450174,False,False,False
AIDADS_sat,all,omega,0.0,True,False,False
AIDADS_sat,all,kappa,1.9057699179298357,False,False,False
MAIDADS_sat,grain,alpha,0.09279816792406032,False,False,False
MAIDADS_sat,grain,beta,0.0,True,False,True
MAIDADS_sat,grain,delta,1.5073273048535198,False,False,False
MAIDADS_sat,grain,tau,0.08001950798985777,False,False,False
MAIDADS_sat,oil,alpha,0.0013871105196686913,False,False,False
MAIDADS_sat,oil,beta,0.0,True,False,True
MAIDADS_sat,oil,delta,0.14402477839027972,False,False,False
MAIDADS_sat,oil,tau,0.12047069472100837,False,False,False
MAIDADS_sat,vegfruit,alpha,0.0005828557940965342,False,False,False
MAIDADS_sat,vegfruit,beta,0.0,True,False,True
MAIDADS_sat,vegfruit,delta,0.025900559790616194,False,False,False
MAIDADS_sat,vegfruit,tau,0.0590754042908833,False,False,False
MAIDADS_sat,pork,alpha,0.4163014536212868,False,False,False
MAIDADS_sat,pork,beta,0.0,True,False,True
MAIDADS_sat,pork,delta,0.020115789975435592,False,False,False
MAIDADS_sat,pork,tau,0.021865661773227945,False,False,False
MAIDADS_sat,aquatic,alpha,0.18485862482798604,False,False,False
MAIDADS_sat,aquatic,beta,0.0,True,False,True
MAIDADS_sat,aquatic,delta,9.432685733084699e-05,True,False,False
MAIDADS_sat,aquatic,tau,0.00010858437875740053,False,False,False
MAIDADS_sat,othermeat,alpha,0.012977876938993467,False,False,False
MAIDADS_sat,othermeat,beta,0.0,True,False,True
MAIDADS_sat,othermeat,delta,0.03621524769276596,False,False,False
MAIDADS_sat,othermeat,tau,0.024941042769079394,False,False,False
MAIDADS_sat,dairyegg,alpha,0.021143018215958837,False,False,False
MAIDADS_sat,dairyegg,beta,0.0,True,False,True
MAIDADS_sat,dairyegg,delta,0.010095118914234128,False,False,False
MAIDADS_sat,dairyegg,tau,0.0315431824698749,False,False,False
MAIDADS_sat,nonfood,alpha,0.2699508921579493,False,False,False
MAIDADS_sat,nonfood,beta,1.0,False,True,True
MAIDADS_sat,nonfood,delta,6.556248799123718,False,False,False
MAIDADS_sat,nonfood,tau,4.188313085044103,False,False,False
MAIDADS_sat,all,omega,0.44000511934391334,False,False,False
MAIDADS_sat,all,kappa,1.6197151291444027,False,False,False
