draw,success,nll_aidads,nll_maidads,lr_stat,message,elapsed_seconds,n_sampled_provinces,n_unique_sampled_provinces
1,True,-3101.6351295716263,-3195.864099791323,188.4579404393935,ok,242.89880800247192,31,20
2,False,-3029.7892413238324,-3334.6014993834137,609.6245161191628,ok,258.7371723651886,31,18
3,True,-3310.253256103417,-3399.4608883187425,178.4152644306514,ok,130.9040768146515,31,20
4,True,-3431.3103525266406,-3574.608572700821,286.5964403483604,ok,144.81571197509766,31,17
5,True,-3209.297854654679,-3227.9350378509334,37.274366392508455,ok,45.228110790252686,31,19
6,True,-3495.7853927122005,-3533.6394440529475,75.70810268149398,ok,76.02049684524536,31,19
7,True,-3488.527633436977,-3522.6248876596187,68.19450844528365,ok,194.79287195205688,31,20
8,True,-3037.181929684781,-3292.181116784678,509.99837419979394,ok,242.22545409202576,31,18
9,True,-3085.538752956346,-3331.425444449179,491.7733829856661,ok,157.54133796691897,31,17
10,True,-3104.2316212172623,-3387.2432354152616,566.0232283959986,ok,194.0588059425354,31,17
11,True,-3421.201731660595,-3465.7708905330023,89.13831774481423,ok,53.2387421131134,31,20
12,True,-3141.197309856315,-3188.55777328033,94.7209268480301,ok,61.77239298820496,31,21
13,True,-3136.6944472994733,-3305.2493897010067,337.10988480306696,ok,179.60404467582703,31,20
14,True,-3037.6391052686854,-3365.5411586481023,655.8041067588338,ok,192.11816000938416,31,19
15,True,-3491.154247357562,-3558.385002529093,134.4615103430624,ok,206.28050303459167,31,19
16,True,-2930.487291136044,-3279.4260363320063,697.8774903919248,ok,207.48435807228088,31,21
17,True,-3443.0480942419563,-3537.472303484316,188.84841848471933,ok,152.02542901039124,31,20
18,True,-2849.904634142538,-3227.9468321120976,756.0843959391204,ok,189.02229714393616,31,18
19,True,-3359.730440153685,-3500.797945590506,282.1350108736424,ok,58.82384490966797,31,17
20,True,-3390.6979920997223,-3585.59823700633,389.8004898132149,ok,96.39481616020204,31,18
21,True,-3627.7826419382945,-3680.8514160789887,106.13754828138826,ok,221.99651885032657,31,19
22,True,-3012.769498249034,-3233.8875478102395,442.23609912241136,ok,231.35908102989197,31,22
23,False,-3016.692093472041,-3252.537368278638,471.690549613194,ok,249.8053560256958,31,21
24,True,-3248.7553237064817,-3423.197351280167,348.8840551473704,ok,64.20308709144592,31,16
25,True,-2963.4168479051054,-3301.6623357826234,676.4909757550358,ok,160.60902667045593,31,19
26,True,-2986.076709547012,-3189.511001563459,406.8685840328944,ok,136.0655722618103,31,19
27,True,-3178.035881004974,-3381.816136692142,407.5605113743368,ok,151.09403800964355,31,19
28,True,-2933.667306900091,-3100.15624677611,332.97787975203846,ok,151.2118878364563,31,19
29,True,-3006.1449725150123,-3312.469580044391,612.6492150587574,ok,176.08596992492676,31,20
30,True,-2918.6352102180917,-3092.170924979362,347.0714295225407,ok,162.93129968643188,31,18
