province,provincechn,year,m,population_10k,income_support_flag,population_share_projected,population_share_source,population_scenario,population_projection_source,p_grain_model,p_oil_model,p_vegfruit_model,p_meatsea_model,p_dairyegg_model,p_nonfood_model,xhat_grain,daily_kcal_grain,annual_kcal_total_grain,xhat_oil,daily_kcal_oil,annual_kcal_total_oil,xhat_vegfruit,daily_kcal_vegfruit,annual_kcal_total_vegfruit,xhat_meatsea,daily_kcal_meatsea,annual_kcal_total_meatsea,xhat_dairyegg,daily_kcal_dairyegg,annual_kcal_total_dairyegg,xhat_nonfood,daily_kcal_nonfood,annual_kcal_total_nonfood,u
11,北京,2030,54228.131731990594,2154.9315,extrapolation,0.014754747483548667,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",832.5932501877371,5516.518798605855,7132.452277843986,5483.905554016172,2860.41924000051,100.0,0.36546759465886564,730.9351893177312,5749170713305.235,0.11632725620077453,232.65451240154906,1829944061478.0215,0.057759337096757186,115.51867419351437,908612128981.1205,0.14512605262710904,290.25210525421807,2282977926620.75,0.035697123388239625,71.39424677647925,561551446235.5414,519.721923638643,,,1.9565746531633548
11,北京,2035,63878.67489683381,2103.8059,extrapolation,0.014473242236419123,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",832.5932501877371,5516.518798605855,7132.452277843986,5483.905554016172,2860.41924000051,100.0,0.36539076067331855,730.7815213466371,5611592038203.113,0.11629190398549923,232.58380797099846,1785985834206.5657,0.057782083009579446,115.56416601915889,887404696193.8538,0.14556581890351658,291.13163780703314,2235568269127.113,0.035759872503980605,71.5197450079612,549192364526.99176,616.2024116168405,,,2.142092105563205
11,北京,2050,97322.39848973544,1897.8973,extrapolation,0.013607292794890789,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",832.5932501877371,5516.518798605855,7132.452277843986,5483.905554016172,2860.41924000051,100.0,0.36538699301252064,730.7739860250413,5062309008703.146,0.11626207015615501,232.52414031231004,1610770324004.9734,0.05780132881371807,115.60265762743614,800817197011.3645,0.14616961502637646,292.3392300527529,2025128899214.3748,0.03584055919165833,71.68111838331666,496558413798.47125,950.6045324195,,,2.606213724751134
12,天津,2030,40901.81361971037,1557.944,in_support,0.010667193046976083,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",788.9353543842642,5585.000022553961,7826.720397252748,5267.561058746732,2693.757093916584,100.0,0.3676759370472872,735.3518740945743,4181575196490.551,0.11649223382600668,232.98446765201336,1324865150171.5164,0.057651999380121936,115.30399876024387,655675681612.5323,0.14848948320633473,296.9789664126695,1688769585798.1926,0.036328923848200065,72.65784769640013,413168531231.04944,386.2986715027943,,,1.629014757310085
12,天津,2035,49459.36841816847,1533.6281,extrapolation,0.010550674371565937,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",788.9353543842642,5585.000022553961,7826.720397252748,5267.561058746732,2693.757093916584,100.0,0.36720562300336734,734.4112460067347,4111045091986.5854,0.11636079940622261,232.72159881244522,1302715599467.2778,0.05773639031603057,115.47278063206113,646386899242.9961,0.14940746578503997,298.8149315700799,1672689061507.3984,0.036479065627614264,72.95813125522852,408400836790.2496,471.826265783249,,,1.850976543093617
12,天津,2050,80426.81470357899,1416.549,extrapolation,0.010156185480273222,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",788.9353543842642,5585.000022553961,7826.720397252748,5267.561058746732,2693.757093916584,100.0,0.36703904814125615,734.0780962825123,3795480215219.7725,0.11626949864287954,232.53899728575908,1202320526841.4282,0.05779513076554331,115.59026153108663,597648333242.8372,0.1506468364404539,301.2936728809078,1557809966244.0864,0.0366565081275912,73.3130162551824,379057901500.9077,781.4324800262939,,,2.398137643249447
13,河北,2030,28390.108699119868,7883.5584,in_support,0.05397847377692003,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",767.589835104942,5347.057800474389,7429.319917177694,3827.972470621542,2685.440176787608,100.0,0.372421988068535,744.84397613707,21432876594391.51,0.11738397076488721,234.76794152977442,6755444737866.832,0.05708106950972487,114.16213901944974,3285014198604.94,0.187632153669449,375.264307338898,10798226000547.39,0.03568057897802964,71.36115795605929,2053416475269.4958,262.3844018440871,,,1.1985051230135606
13,河北,2035,35507.09634962889,7854.45,in_support,0.05403509776440982,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",767.589835104942,5347.057800474389,7429.319917177694,3827.972470621542,2685.440176787608,100.0,0.3691370085785397,738.2740171570794,21165387692316.89,0.11667802646856397,233.35605293712794,6690024592470.889,0.057533788402520304,115.0675768050406,3298842729522.6816,0.19051204688511628,381.0240937702325,10923481630594.648,0.03613345118792932,72.26690237585865,2071801215486.13,333.4612037007669,,,1.4701952159767573
13,河北,2050,62800.7052452148,7674.2785,extrapolation,0.055022025975291336,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",767.589835104942,5347.057800474389,7429.319917177694,3827.972470621542,2685.440176787608,100.0,0.36782450767169733,735.6490153433947,20606350290285.34,0.11629423082316617,232.58846164633235,6515062501545.909,0.05778027220497934,115.56054440995868,3236979875159.7905,0.1944595648986354,388.9191297972708,10894059063552.951,0.03659073253758677,73.18146507517353,2049894545690.904,606.246187065024,,,2.1284887722017585
14,山西,2030,25270.209470351678,3896.4992,in_support,0.02667920616773637,chen_guo_wang_2020_ssp2_provincial_projection,SSP2,"Chen, Y., Guo, F., Wang, J. et al. (2020) Sci Data 7, 83; doi:10.1038/s41597-020-0421-y",771.1569964145249,5312.108589960856,7544.868227238039,3431.1773635116697,2795.350994619254,100.0,0.37591821646715595,751.8364329343119,10692784717026.81,0.11813104707041812,236.26209414083624,3360171971956.8403,0.05660196960664771,113.20393921329543,1610011563822.308,0.20316611900019627,406.3322380003925,5778947327104.998,0.03473849971070556,69.47699942141112,988117315223.3406,231.3153286741134,,,1.0568304127801587
