draw,group,alpha,beta,delta,tau,omega,kappa
1,dairyegg,0.0029282591213012,0.0,0.0001693227890168,0.0608694439259413,0.5256460706223064,6.121679291305483
1,grain,0.0002941592460799,0.0,0.5781266896903856,0.0005040948378246,0.5256460706223064,6.121679291305483
1,meatsea,0.0311936244172874,0.0,0.1053645352481627,0.0094711202826838,0.5256460706223064,6.121679291305483
1,nonfood,0.9650035953462774,1.0,65.68159618960894,5.110103453749781,0.5256460706223064,6.121679291305483
1,oil,0.0002822944268789,0.0,0.1441235105013504,0.0765434646361373,0.5256460706223064,6.121679291305483
1,vegfruit,0.0002980674421749,0.0,0.0049405661427593,0.1490141565417345,0.5256460706223064,6.121679291305483
2,dairyegg,0.0051879955458614,0.0,0.0001673556417546,0.0398007670050579,0.5107328268938153,5.11869586972109
2,grain,0.0003928210387379,0.0,0.7547585507045582,0.000530396262497,0.5107328268938153,5.11869586972109
2,meatsea,0.0557972128189319,0.0,0.0723205675262039,0.008650631064307,0.5107328268938153,5.11869586972109
2,nonfood,0.9377454607576332,1.0,68.65295253321825,4.620629757781281,0.5107328268938153,5.11869586972109
2,oil,0.0003943540927779,0.0,0.1708887400708935,0.066391755827892,0.5107328268938153,5.11869586972109
2,vegfruit,0.0004821557460573,0.0,0.0095012482310155,0.10694442994576,0.5107328268938153,5.11869586972109
3,dairyegg,0.0084429257189102,0.0,0.0001645145570872,0.0219176339421552,0.5906562801696095,4.881573087299722
3,grain,0.0004463822349579,0.0,0.7841903839302297,0.0004817076229135,0.5906562801696095,4.881573087299722
3,meatsea,0.0613122459263354,0.0,0.0668847874425192,0.0080182865524903,0.5906562801696095,4.881573087299722
3,nonfood,0.9288802776048224,1.0,48.87257935440558,4.182550581081383,0.5906562801696095,4.881573087299722
3,oil,0.0004461728570831,0.0,0.2036261668343862,0.0371743230270871,0.5906562801696095,4.881573087299722
3,vegfruit,0.0004719956578906,0.0,0.0109656008241811,0.0924333413684703,0.5906562801696095,4.881573087299722
4,dairyegg,0.0049039996711176,0.0,0.0001652087120266,0.0398667813918559,0.2220788482007729,4.9186364552635995
4,grain,0.0005322941304242,0.0,0.7350554897359057,0.0005157733283992,0.2220788482007729,4.9186364552635995
4,meatsea,0.080519159733047,0.0,0.0593361031498682,0.0138898249887818,0.2220788482007729,4.9186364552635995
4,nonfood,0.9127495245203916,1.0,133.94438441044,4.764369369634299,0.2220788482007729,4.9186364552635995
4,oil,0.0004858621424149,0.0,0.1278267051783971,0.1157196114954371,0.2220788482007729,4.9186364552635995
4,vegfruit,0.0008091598026046,0.0,0.0096022245735696,0.097811073035833,0.2220788482007729,4.9186364552635995
5,dairyegg,0.0024505392370089,0.0,0.0001671373386872,0.0584847466865795,0.4378145276453691,6.08684583660994
5,grain,0.000364382130097,0.0,0.6310053853343638,0.0004771244536579,0.4378145276453691,6.08684583660994
5,meatsea,0.03839420256858,0.0,0.0988327379679084,0.0095696125714762,0.4378145276453691,6.08684583660994
5,nonfood,0.9581787187766484,1.0,69.02056029540584,5.2012584594017515,0.4378145276453691,6.08684583660994
5,oil,0.0002887784024565,0.0,0.1487588573226881,0.0800588398013381,0.4378145276453691,6.08684583660994
5,vegfruit,0.0003233788852091,0.0,0.0092343278406061,0.129142898448488,0.4378145276453691,6.08684583660994
6,dairyegg,0.0053023793928085,0.0,0.0001594827289942,0.0364919835204084,0.700431014731851,4.544471777012621
6,grain,0.0003875061425059,0.0,0.871569893946199,0.0004960254570313,0.700431014731851,4.544471777012621
6,meatsea,0.0703301567414855,0.0,0.0856713778807607,0.0102556940204936,0.700431014731851,4.544471777012621
6,nonfood,0.9231924051102112,1.0,61.16913665503504,4.427099023690379,0.700431014731851,4.544471777012621
6,oil,0.0003875061425059,0.0,0.2297071283366605,0.0343212571524816,0.700431014731851,4.544471777012621
6,vegfruit,0.0004000464704828,0.0,0.0038483042088097,0.0929067343387679,0.700431014731851,4.544471777012621
7,dairyegg,0.0064190153398154,0.0,0.0001018019106633,0.0207475706679741,0.3845075827307793,5.2271414697308165
7,grain,1.6098690828175844e-05,0.0,0.732248938178638,0.000513113337715,0.3845075827307793,5.2271414697308165
7,meatsea,0.0574274181883283,0.0,0.0491845707694603,0.0008053871447254,0.3845075827307793,5.2271414697308165
7,nonfood,0.923443412499572,1.0,47.102388128648386,6.037280858399445,0.3845075827307793,5.2271414697308165
7,oil,1.6098690828175844e-05,0.0,0.1519634773926469,0.0847725164960891,0.3845075827307793,5.2271414697308165
7,vegfruit,0.0126779565906278,0.0,0.0295617304851267,0.0481176931996564,0.3845075827307793,5.2271414697308165
8,dairyegg,0.003408775105697,0.0,0.0001635692696389,0.0514508437825538,0.5442905447652329,6.105277096178732
8,grain,0.0003310914805283,0.0,0.6089978977670316,0.0004970477167955,0.5442905447652329,6.105277096178732
8,meatsea,0.0342363700080492,0.0,0.0951772661200871,0.0093261458527521,0.5442905447652329,6.105277096178732
8,nonfood,0.9613745194750024,1.0,56.21748716120246,4.722852466263454,0.5442905447652329,6.105277096178732
8,oil,0.0003157712434276,0.0,0.1765817901022328,0.033998192613146,0.5442905447652329,6.105277096178732
8,vegfruit,0.0003334726872952,0.0,0.0068029545935714,0.1445279414614267,0.5442905447652329,6.105277096178732
9,dairyegg,0.0031572496167221,0.0,0.000175545000742,0.0548525841560113,0.5349583101399514,5.8604804906189365
9,grain,0.0003300467199992,0.0,0.6293339920941027,0.0004807745599153,0.5349583101399514,5.8604804906189365
9,meatsea,0.0418898333111632,0.0,0.0805721639092562,0.0112783363316647,0.5349583101399514,5.8604804906189365
9,nonfood,0.9539281288147784,1.0,63.4578897334556,3.9153443121516376,0.5349583101399514,5.8604804906189365
9,oil,0.0003442054534766,0.0,0.1615555109701986,0.0619916186962459,0.5349583101399514,5.8604804906189365
9,vegfruit,0.0003505360838601,0.0,0.0080848712810361,0.130121122989006,0.5349583101399514,5.8604804906189365
10,dairyegg,0.0036116318489646,0.0,0.0001782343725867,0.0451497191441067,0.5071505219581143,5.5591897650827
10,grain,0.000382942237397,0.0,0.684481601370848,0.0004656275394257,0.5071505219581143,5.5591897650827
10,meatsea,0.0484117090072407,0.0,0.0851954254655828,0.0094468739281716,0.5071505219581143,5.5591897650827
10,nonfood,0.946844835157613,1.0,57.67917822884374,3.911502294164707,0.5071505219581143,5.5591897650827
10,oil,0.0003551781287588,0.0,0.2122370116349464,0.0194691017927576,0.5071505219581143,5.5591897650827
10,vegfruit,0.0003937036200259,0.0,0.0022341003890513,0.1279164034176875,0.5071505219581143,5.5591897650827
11,dairyegg,0.0016426138100978,0.0,0.0001469242703896,0.0658037812920252,0.3732875468690652,6.368326509658396
11,grain,0.0002369981175263,0.0,0.6393619583568342,0.0004696091551236,0.3732875468690652,6.368326509658396
11,meatsea,0.0348032802242172,0.0,0.0794760743138462,0.0095128770698823,0.3732875468690652,6.368326509658396
11,nonfood,0.9628651869514468,1.0,63.98427577845712,5.1379022852329355,0.3732875468690652,6.368326509658396
11,oil,0.0002158012429753,0.0,0.1503941110366017,0.0807166418948782,0.3732875468690652,6.368326509658396
11,vegfruit,0.0002361196537363,0.0,0.0107566905332053,0.1256378649276262,0.3732875468690652,6.368326509658396
12,dairyegg,0.005237578503371,0.0,0.0001278483124987,0.0319219315567061,0.5834276161258176,5.14879168381787
12,grain,0.0037555696632569,0.0,0.6202142281148696,0.0005309510505264,0.5834276161258176,5.14879168381787
12,meatsea,0.0624836559132629,0.0,0.0522475029386287,0.0028666985893493,0.5834276161258176,5.14879168381787
12,nonfood,0.9148736062872348,1.0,58.51744631723844,4.760495206097097,0.5834276161258176,5.14879168381787
12,oil,0.0010682511049924,0.0,0.1545907688355065,0.0867641485031609,0.5834276161258176,5.14879168381787
12,vegfruit,0.0125813385278818,0.0,0.0365800716446958,0.0434789950440735,0.5834276161258176,5.14879168381787
13,dairyegg,0.0107709570275066,0.0,0.0001628758042417,0.0163317691410121,0.751665773678928,4.093009854799636
13,grain,0.0007415787933846,0.0,1.072810640899523,0.000493956049259,0.751665773678928,4.093009854799636
13,meatsea,0.1234946173300905,0.0,0.0579596787510859,0.0065514129077092,0.751665773678928,4.093009854799636
13,nonfood,0.8636844741206406,1.0,41.53809962533659,3.4894939066789834,0.751665773678928,4.093009854799636
13,oil,0.0006332697287016,0.0,0.3338339427029038,0.0133330797773037,0.751665773678928,4.093009854799636
13,vegfruit,0.0006751029996758,0.0,0.0031472590657013,0.0799528795717885,0.751665773678928,4.093009854799636
14,dairyegg,0.0035242215358618,0.0,0.0001624463657293,0.0450099237325614,0.629579642172975,4.470396385361744
14,grain,0.000401378707687,0.0,0.9236865918284348,0.0004717849205056,0.629579642172975,4.470396385361744
14,meatsea,0.0867014878279772,0.0,0.0693844782940233,0.0108664004597809,0.629579642172975,4.470396385361744
14,nonfood,0.9085815704605816,1.0,59.81819946039842,4.430374526133041,0.629579642172975,4.470396385361744
14,oil,0.0003856895192762,0.0,0.2673768029612092,0.0211142719963891,0.629579642172975,4.470396385361744
