variant,model,group,group_label_cn,items,alpha,beta,delta,tau,omega,kappa,nll,success,message
baseline_real_national_nonfood,AIDADS_sat,grain,粮食/主粮,grain,1.333452185026825e-07,0.0,0.4198946229872533,0.4198946229872533,0.0,7.01688867702215,-3119.244610233145,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
baseline_real_national_nonfood,AIDADS_sat,oil,食用油,oil,1.7053182775702393e-07,0.0,0.1288452113520773,0.1288452113520773,0.0,7.01688867702215,-3119.244610233145,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
baseline_real_national_nonfood,AIDADS_sat,vegfruit,蔬菜水果,vegetable+fruit,0.002944072635254531,0.0,0.03850012751856161,0.03850012751856161,0.0,7.01688867702215,-3119.244610233145,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
baseline_real_national_nonfood,AIDADS_sat,meatsea,肉类及水产品,pork+beef+mutton+poultry+aquatic,0.012432524263169946,0.0,0.04650597184254425,0.04650597184254425,0.0,7.01688867702215,-3119.244610233145,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
baseline_real_national_nonfood,AIDADS_sat,dairyegg,奶蛋类,milk+egg,0.0016175788529178459,0.0,0.009650239530705047,0.009650239530705047,0.0,7.01688867702215,-3119.244610233145,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
baseline_real_national_nonfood,AIDADS_sat,nonfood,其他/未覆盖支出,,0.9830055203716115,1.0,3.2926433897460456,3.2926433897460456,0.0,7.01688867702215,-3119.244610233145,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
baseline_real_national_nonfood,MAIDADS_sat,grain,粮食/主粮,grain,1.4625175400629143e-07,0.0,0.6568999976457947,0.1363506663458605,0.6988179155395257,6.56832241325697,-3171.993998905892,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
baseline_real_national_nonfood,MAIDADS_sat,oil,食用油,oil,1.8460814159454014e-07,0.0,0.16466019946648472,0.08616803885286942,0.6988179155395257,6.56832241325697,-3171.993998905892,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
baseline_real_national_nonfood,MAIDADS_sat,vegfruit,蔬菜水果,vegetable+fruit,0.0030082146089476522,0.0,0.027636859563507636,0.05559788531098585,0.6988179155395257,6.56832241325697,-3171.993998905892,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
baseline_real_national_nonfood,MAIDADS_sat,meatsea,肉类及水产品,pork+beef+mutton+poultry+aquatic,0.015986492412534404,0.0,0.07185316046149805,0.00025175366427368994,0.6988179155395257,6.56832241325697,-3171.993998905892,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
baseline_real_national_nonfood,MAIDADS_sat,dairyegg,奶蛋类,milk+egg,0.0014095232500997616,0.0,0.000918314509778748,0.03215275172188646,0.6988179155395257,6.56832241325697,-3171.993998905892,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
baseline_real_national_nonfood,MAIDADS_sat,nonfood,其他/未覆盖支出,,0.9795954388685225,1.0,3.006628499485532,3.2641633409196316,0.6988179155395257,6.56832241325697,-3171.993998905892,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
