scenario,year,group,base_2023_daily_kcal_per_cap,projection_daily_kcal_per_cap,base_2023_total_kcal,population_only_total_kcal,full_total_kcal,population_contribution_kcal,per_cap_demand_contribution_kcal,total_change_kcal
ssp2_population_income_convergence,2030,grain,824.2598473241211,738.093466948955,423504338638202.1,439398628526179.25,393464825630373.6,15894289887977.125,-45933802895805.625,-30039513007828.5
ssp2_population_income_convergence,2035,grain,824.2598473241211,732.2996881333759,423504338638202.1,437317489811016.0,388527310220836.25,13813151172813.875,-48790179590179.75,-34977028417365.875
ssp2_population_income_convergence,2050,grain,824.2598473241211,729.9283781281954,423504338638202.1,419621746401031.5,371598618775594.4,-3882592237170.625,-48023127625437.125,-51905719862607.75
ssp2_population_income_convergence,2030,oil,245.91228783760246,234.46886507896704,126349622830430.62,131091575507848.31,124991285311603.42,4741952677417.6875,-6100290196244.891,-1358337518827.2031
ssp2_population_income_convergence,2035,oil,245.91228783760246,233.24283667774415,126349622830430.62,130470682006345.55,123748805893491.86,4121059175914.922,-6721876112853.6875,-2600816936938.7656
ssp2_population_income_convergence,2050,oil,245.91228783760246,232.58025425084935,126349622830430.62,125191277991866.97,118404084323617.48,-1158344838563.6562,-6787193668249.484,-7945538506813.141
ssp2_population_income_convergence,2030,vegfruit,117.83898585187498,114.35243119147718,60545617903149.74,62817919541177.28,60959297723028.8,2272301638027.539,-1858621818148.4844,413679819879.0547
ssp2_population_income_convergence,2035,vegfruit,117.83898585187498,115.1386385678534,60545617903149.74,62520392885708.055,61087702576092.695,1974774982558.3125,-1432690309615.3594,542084672942.9531
ssp2_population_income_convergence,2050,vegfruit,117.83898585187498,115.5641154248145,60545617903149.74,59990549336859.805,58832437481068.02,-555068566289.9375,-1158111855791.7812,-1713180422081.7188
ssp2_population_income_convergence,2030,meatsea,404.7205561355667,360.85894850220336,207945239618203.88,215749508943860.5,192367646656597.28,7804269325656.625,-23381862287263.22,-15577592961606.594
ssp2_population_income_convergence,2035,meatsea,404.7205561355667,365.59086349137107,207945239618203.88,214727647183967.03,193967083607093.88,6782407565763.156,-20760563576873.156,-13978156011110.0
ssp2_population_income_convergence,2050,meatsea,404.7205561355667,372.03441701573206,207945239618203.88,206038844572301.06,189398685737560.84,-1906395045902.8125,-16640158834740.219,-18546553880643.03
ssp2_population_income_convergence,2030,dairyegg,74.90595018484804,68.97183660252362,38486643497297.336,39931062863881.12,36767689835270.4,1444419366583.7812,-3163373028610.7188,-1718953662026.9375
ssp2_population_income_convergence,2035,dairyegg,74.90595018484804,69.70045870340724,38486643497297.336,39741936008518.86,36980121909134.32,1255292511221.5234,-2761814099384.539,-1506521588163.0156
ssp2_population_income_convergence,2050,dairyegg,74.90595018484804,70.39955594276141,38486643497297.336,38133806632017.86,35839650210381.13,-352836865279.47656,-2294156421636.7266,-2646993286916.203
