variant,model,group,group_label_cn,items,alpha,beta,delta,tau,omega,kappa,nll,success,message
baseline_real_national_nonfood,AIDADS_sat,grain,粮食/主粮,grain,0.40195727478565046,0.0,0.20813689000178648,0.20813689000178648,0.0,1.3648846353457456,-3841.9227493036865,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
baseline_real_national_nonfood,AIDADS_sat,oil,食用油,oil,0.0007399515864903694,0.0,0.12772456350189829,0.12772456350189829,0.0,1.3648846353457456,-3841.9227493036865,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
baseline_real_national_nonfood,AIDADS_sat,vegfruit,蔬菜水果,vegetable+fruit,0.0003843280112255841,0.0,0.051142831324354404,0.051142831324354404,0.0,1.3648846353457456,-3841.9227493036865,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
baseline_real_national_nonfood,AIDADS_sat,pork,猪肉,pork,0.47715551959423685,0.0,0.029633406327317972,0.029633406327317972,0.0,1.3648846353457456,-3841.9227493036865,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
baseline_real_national_nonfood,AIDADS_sat,nonpork_meatsea,非猪肉肉类及水产品(牛羊禽水产),beef+mutton+poultry+aquatic,0.001234956518673263,0.0,0.040802763349014816,0.040802763349014816,0.0,1.3648846353457456,-3841.9227493036865,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
baseline_real_national_nonfood,AIDADS_sat,dairyegg,奶蛋类,milk+egg,0.08274263075506635,0.0,0.01764518749715869,0.01764518749715869,0.0,1.3648846353457456,-3841.9227493036865,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
baseline_real_national_nonfood,AIDADS_sat,nonfood,其他/未覆盖支出,,0.03578533874865702,1.0,12.92669724963024,12.92669724963024,0.0,1.3648846353457456,-3841.9227493036865,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
baseline_real_national_nonfood,MAIDADS_sat,grain,粮食/主粮,grain,0.4054231274091851,0.0,0.20825936708724874,0.2132902060646619,0.20000276431029812,1.3683140413804968,-3842.5931292225687,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
baseline_real_national_nonfood,MAIDADS_sat,oil,食用油,oil,0.0007386941508136619,0.0,0.12596818536277285,0.1281042301373252,0.20000276431029812,1.3683140413804968,-3842.5931292225687,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
baseline_real_national_nonfood,MAIDADS_sat,vegfruit,蔬菜水果,vegetable+fruit,0.0003838736461283232,0.0,0.050470952746782455,0.051302627893007845,0.20000276431029812,1.3683140413804968,-3842.5931292225687,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
baseline_real_national_nonfood,MAIDADS_sat,pork,猪肉,pork,0.47414807562385614,0.0,0.029597826460994337,0.03055996520253463,0.20000276431029812,1.3683140413804968,-3842.5931292225687,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
baseline_real_national_nonfood,MAIDADS_sat,nonpork_meatsea,非猪肉肉类及水产品(牛羊禽水产),beef+mutton+poultry+aquatic,0.0012322332228259507,0.0,0.040372583159873805,0.04123947044313846,0.20000276431029812,1.3683140413804968,-3842.5931292225687,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
baseline_real_national_nonfood,MAIDADS_sat,dairyegg,奶蛋类,milk+egg,0.08196980758026878,0.0,0.017583960574093057,0.018223024982120056,0.20000276431029812,1.3683140413804968,-3842.5931292225687,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
baseline_real_national_nonfood,MAIDADS_sat,nonfood,其他/未覆盖支出,,0.03610418836692214,1.0,12.767043889239172,13.03977285331214,0.20000276431029812,1.3683140413804968,-3842.5931292225687,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
