model,group,parameter,value,near_lower_boundary,near_upper_boundary,imposed_by_saturation
AIDADS_sat,grain,alpha,0.09591074045349479,False,False,False
AIDADS_sat,grain,beta,0.0,True,False,True
AIDADS_sat,grain,delta,0.3308357973551009,False,False,False
AIDADS_sat,grain,tau,0.3308357973551009,False,False,False
AIDADS_sat,oil,alpha,0.0020057087835463634,False,False,False
AIDADS_sat,oil,beta,0.0,True,False,True
AIDADS_sat,oil,delta,0.1263047676134303,False,False,False
AIDADS_sat,oil,tau,0.1263047676134303,False,False,False
AIDADS_sat,vegfruit,alpha,0.0005975013642467744,False,False,False
AIDADS_sat,vegfruit,beta,0.0,True,False,True
AIDADS_sat,vegfruit,delta,0.05170039388974243,False,False,False
AIDADS_sat,vegfruit,tau,0.05170039388974243,False,False,False
AIDADS_sat,pork,alpha,0.3504880009829413,False,False,False
AIDADS_sat,pork,beta,0.0,True,False,True
AIDADS_sat,pork,delta,0.017874785917423943,False,False,False
AIDADS_sat,pork,tau,0.017874785917423943,False,False,False
AIDADS_sat,aquatic,alpha,0.14731725611727817,False,False,False
AIDADS_sat,aquatic,beta,0.0,True,False,True
AIDADS_sat,aquatic,delta,0.00011635057276869784,False,False,False
AIDADS_sat,aquatic,tau,0.00011635057276869784,False,False,False
AIDADS_sat,othermeat,alpha,0.011719306949718176,False,False,False
AIDADS_sat,othermeat,beta,0.0,True,False,True
AIDADS_sat,othermeat,delta,0.02741867953259297,False,False,False
AIDADS_sat,othermeat,tau,0.02741867953259297,False,False,False
AIDADS_sat,dairyegg,alpha,0.07101298067337333,False,False,False
AIDADS_sat,dairyegg,beta,0.0,True,False,True
AIDADS_sat,dairyegg,delta,0.012328574954340516,False,False,False
AIDADS_sat,dairyegg,tau,0.012328574954340516,False,False,False
AIDADS_sat,nonfood,alpha,0.32094850467540115,False,False,False
AIDADS_sat,nonfood,beta,1.0,False,True,True
AIDADS_sat,nonfood,delta,3.7416479486719716,False,False,False
AIDADS_sat,nonfood,tau,3.7416479486719716,False,False,False
AIDADS_sat,all,omega,0.0,True,False,False
AIDADS_sat,all,kappa,1.8514561821913622,False,False,False
MAIDADS_sat,grain,alpha,0.09580186308584689,False,False,False
MAIDADS_sat,grain,beta,0.0,True,False,True
MAIDADS_sat,grain,delta,0.368327965837185,False,False,False
MAIDADS_sat,grain,tau,0.3120674535301686,False,False,False
MAIDADS_sat,oil,alpha,0.0018347454390450742,False,False,False
MAIDADS_sat,oil,beta,0.0,True,False,True
MAIDADS_sat,oil,delta,0.11857313541352303,False,False,False
MAIDADS_sat,oil,tau,0.13159249256422373,False,False,False
MAIDADS_sat,vegfruit,alpha,0.0005161543632785832,False,False,False
MAIDADS_sat,vegfruit,beta,0.0,True,False,True
MAIDADS_sat,vegfruit,delta,0.05326007172986941,False,False,False
MAIDADS_sat,vegfruit,tau,0.05069965782619604,False,False,False
MAIDADS_sat,pork,alpha,0.3598101260701042,False,False,False
MAIDADS_sat,pork,beta,0.0,True,False,True
MAIDADS_sat,pork,delta,0.018210273248230466,False,False,False
MAIDADS_sat,pork,tau,0.01978622924223711,False,False,False
MAIDADS_sat,aquatic,alpha,0.152202554760684,False,False,False
MAIDADS_sat,aquatic,beta,0.0,True,False,True
MAIDADS_sat,aquatic,delta,0.00011695126427852802,False,False,False
MAIDADS_sat,aquatic,tau,0.00011298013858554496,False,False,False
MAIDADS_sat,othermeat,alpha,0.010562736500562648,False,False,False
MAIDADS_sat,othermeat,beta,0.0,True,False,True
MAIDADS_sat,othermeat,delta,0.02429345971400992,False,False,False
MAIDADS_sat,othermeat,tau,0.028797065991916424,False,False,False
MAIDADS_sat,dairyegg,alpha,0.06639763618992486,False,False,False
MAIDADS_sat,dairyegg,beta,0.0,True,False,True
MAIDADS_sat,dairyegg,delta,0.013365697050220848,False,False,False
MAIDADS_sat,dairyegg,tau,0.013531772387064647,False,False,False
MAIDADS_sat,nonfood,alpha,0.31287418359055386,False,False,False
MAIDADS_sat,nonfood,beta,1.0,False,True,True
MAIDADS_sat,nonfood,delta,3.534990890691568,False,False,False
MAIDADS_sat,nonfood,tau,3.6451400151486215,False,False,False
MAIDADS_sat,all,omega,0.1903876893337372,False,False,False
MAIDADS_sat,all,kappa,1.8356562630291966,False,False,False
