model,group,parameter,value,near_lower_boundary,near_upper_boundary,imposed_by_saturation
AIDADS_sat,grain,alpha,1.6624160608234981e-06,True,False,False
AIDADS_sat,grain,beta,0.0,True,False,True
AIDADS_sat,grain,delta,0.4163722689077517,False,False,False
AIDADS_sat,grain,tau,0.4163722689077517,False,False,False
AIDADS_sat,oil,alpha,1.6624160608234981e-06,True,False,False
AIDADS_sat,oil,beta,0.0,True,False,True
AIDADS_sat,oil,delta,0.12798837059347498,False,False,False
AIDADS_sat,oil,tau,0.12798837059347498,False,False,False
AIDADS_sat,vegfruit,alpha,9.091434600773021e-06,True,False,False
AIDADS_sat,vegfruit,beta,0.0,True,False,True
AIDADS_sat,vegfruit,delta,0.051038490480811396,False,False,False
AIDADS_sat,vegfruit,tau,0.051038490480811396,False,False,False
AIDADS_sat,pork,alpha,0.002933096653542638,False,False,False
AIDADS_sat,pork,beta,0.0,True,False,True
AIDADS_sat,pork,delta,0.057809616593869836,False,False,False
AIDADS_sat,pork,tau,0.057809616593869836,False,False,False
AIDADS_sat,aquatic,alpha,0.002323950337658483,False,False,False
AIDADS_sat,aquatic,beta,0.0,True,False,True
AIDADS_sat,aquatic,delta,0.0004070501173934988,False,False,False
AIDADS_sat,aquatic,tau,0.0004070501173934988,False,False,False
AIDADS_sat,othermeat,alpha,1.5623227845450937e-05,True,False,False
AIDADS_sat,othermeat,beta,0.0,True,False,True
AIDADS_sat,othermeat,delta,0.028823402514516195,False,False,False
AIDADS_sat,othermeat,tau,0.028823402514516195,False,False,False
AIDADS_sat,dairyegg,alpha,0.0008283742065386889,False,False,False
AIDADS_sat,dairyegg,beta,0.0,True,False,True
AIDADS_sat,dairyegg,delta,0.017189066805648134,False,False,False
AIDADS_sat,dairyegg,tau,0.017189066805648134,False,False,False
AIDADS_sat,nonfood,alpha,0.9938865393076924,False,False,False
AIDADS_sat,nonfood,beta,1.0,False,True,True
AIDADS_sat,nonfood,delta,2.0897186559432614,False,False,False
AIDADS_sat,nonfood,tau,2.0897186559432614,False,False,False
AIDADS_sat,all,omega,0.0,True,False,False
AIDADS_sat,all,kappa,7.668658160553974,False,False,False
MAIDADS_sat,grain,alpha,4.776707020040881e-06,True,False,False
MAIDADS_sat,grain,beta,0.0,True,False,True
MAIDADS_sat,grain,delta,0.7030340803931613,False,False,False
MAIDADS_sat,grain,tau,0.002141477289416338,False,False,False
MAIDADS_sat,oil,alpha,4.6804866730757685e-06,True,False,False
MAIDADS_sat,oil,beta,0.0,True,False,True
MAIDADS_sat,oil,delta,0.17459058580416412,False,False,False
MAIDADS_sat,oil,tau,0.0632809192929901,False,False,False
MAIDADS_sat,vegfruit,alpha,0.002258277198932186,False,False,False
MAIDADS_sat,vegfruit,beta,0.0,True,False,True
MAIDADS_sat,vegfruit,delta,0.03358447715207132,False,False,False
MAIDADS_sat,vegfruit,tau,0.05899032089563349,False,False,False
MAIDADS_sat,pork,alpha,0.004060438585141404,False,False,False
MAIDADS_sat,pork,beta,0.0,True,False,True
MAIDADS_sat,pork,delta,0.10891425776029019,False,False,False
MAIDADS_sat,pork,tau,6.14421235332821e-06,True,False,False
MAIDADS_sat,aquatic,alpha,0.003170930761564124,False,False,False
MAIDADS_sat,aquatic,beta,0.0,True,False,True
MAIDADS_sat,aquatic,delta,6.14421235332821e-06,True,False,False
MAIDADS_sat,aquatic,tau,0.005607545899121765,False,False,False
MAIDADS_sat,othermeat,alpha,1.198846864878317e-05,True,False,False
MAIDADS_sat,othermeat,beta,0.0,True,False,True
MAIDADS_sat,othermeat,delta,0.02988610892678804,False,False,False
MAIDADS_sat,othermeat,tau,0.027323052452730225,False,False,False
MAIDADS_sat,dairyegg,alpha,0.001386292987818944,False,False,False
MAIDADS_sat,dairyegg,beta,0.0,True,False,True
MAIDADS_sat,dairyegg,delta,0.01917737489829419,False,False,False
MAIDADS_sat,dairyegg,tau,0.012969537949806872,False,False,False
MAIDADS_sat,nonfood,alpha,0.9891026148042015,False,False,False
MAIDADS_sat,nonfood,beta,1.0,False,True,True
MAIDADS_sat,nonfood,delta,324.3179346064271,False,False,False
MAIDADS_sat,nonfood,tau,3.243694484539443,False,False,False
MAIDADS_sat,all,omega,0.3577528808602265,False,False,False
MAIDADS_sat,all,kappa,6.963579399691991,False,False,False
