draw,success,nll_aidads,nll_maidads,lr_stat,message
1,True,-3458.3747180986707,-3535.880951050294,155.01246590324627,ok
2,True,-3287.8247523578416,-3628.5739290431748,681.4983533706663,ok
3,True,-3844.8818399250727,-3860.099176007346,30.43467216454701,ok
4,True,-3775.038330507604,-3844.999587836641,139.92251465807385,ok
5,True,-4079.00618669721,-4135.939110945793,113.86584849716564,ok
6,False,-3717.7508031333314,-3783.6128293075535,131.72405234844427,ok
7,True,-3391.3901883688304,-3694.5758646738714,606.3713526100819,ok
8,True,-3309.49430666793,-3643.098693836468,667.2087743370766,ok
9,True,-3359.5588990066612,-3666.4329299287897,613.7480618442569,ok
10,True,-3304.780486301089,-3304.7805033236846,3.404519156902097e-05,ok
11,True,-3727.204782820841,-3814.9501870513354,175.49080846098877,ok
12,True,-3205.843938562686,-3537.8473394054304,664.0068016854884,ok
