year,item,total_kg,feed_kg_per_kg_product,feed_cereal_share,feed_grain_kg,feed_coefficient_source
2030,aquatic,21653832844.359306,1.35,1.0,29232674339.885063,user_supplied_feed_grain_equivalent_coefficients
2030,beef,4770847335.315785,9.8,1.0,46754303886.0947,user_supplied_feed_grain_equivalent_coefficients
2030,egg,22413802074.477722,2.46,1.0,55137953103.215195,user_supplied_feed_grain_equivalent_coefficients
2030,milk,20543884647.852013,0.62,1.0,12737208481.668247,user_supplied_feed_grain_equivalent_coefficients
2030,mutton,3043769818.986579,9.8,1.0,29828944226.068474,user_supplied_feed_grain_equivalent_coefficients
2030,pork,46031901078.059784,3.88,1.0,178603776182.87195,user_supplied_feed_grain_equivalent_coefficients
2030,poultry,17879988261.9711,3.1,1.0,55427963612.110405,user_supplied_feed_grain_equivalent_coefficients
2035,aquatic,22834155319.908417,1.35,1.0,30826109681.876366,user_supplied_feed_grain_equivalent_coefficients
2035,beef,5056897314.636861,9.8,1.0,49557593683.44124,user_supplied_feed_grain_equivalent_coefficients
2035,egg,24279013194.097557,2.46,1.0,59726372457.47999,user_supplied_feed_grain_equivalent_coefficients
2035,milk,22256976893.717735,0.62,1.0,13799325674.104996,user_supplied_feed_grain_equivalent_coefficients
2035,mutton,3250037732.613673,9.8,1.0,31850369779.614,user_supplied_feed_grain_equivalent_coefficients
2035,pork,48986762815.869675,3.88,1.0,190068639725.5743,user_supplied_feed_grain_equivalent_coefficients
2035,poultry,19022489831.583294,3.1,1.0,58969718477.90822,user_supplied_feed_grain_equivalent_coefficients
2050,aquatic,24176162422.757572,1.35,1.0,32637819270.722725,user_supplied_feed_grain_equivalent_coefficients
2050,beef,5417158189.393891,9.8,1.0,53088150256.060135,user_supplied_feed_grain_equivalent_coefficients
2050,egg,27409637008.140682,2.46,1.0,67427707040.02608,user_supplied_feed_grain_equivalent_coefficients
2050,milk,25185201142.9459,0.62,1.0,15614824708.62646,user_supplied_feed_grain_equivalent_coefficients
2050,mutton,3557225074.410742,9.8,1.0,34860805729.22527,user_supplied_feed_grain_equivalent_coefficients
2050,pork,52902588721.17884,3.88,1.0,205262044238.1739,user_supplied_feed_grain_equivalent_coefficients
2050,poultry,20617020811.566044,3.1,1.0,63912764515.85474,user_supplied_feed_grain_equivalent_coefficients
