year,item,total_kg,feed_kg_per_kg_product,feed_cereal_share,feed_grain_kg,feed_coefficient_source
2030,aquatic,15667353769.877956,1.35,1.0,21150927589.335243,user_supplied_feed_grain_equivalent_coefficients
2030,beef,3571076162.9435277,9.8,1.0,34996546396.84657,user_supplied_feed_grain_equivalent_coefficients
2030,egg,18357762891.570877,2.46,1.0,45160096713.26435,user_supplied_feed_grain_equivalent_coefficients
2030,milk,16893019585.042185,0.62,1.0,10473672142.726154,user_supplied_feed_grain_equivalent_coefficients
2030,mutton,2387791612.350088,9.8,1.0,23400357801.030865,user_supplied_feed_grain_equivalent_coefficients
2030,pork,33769883516.82804,3.88,1.0,131027148045.2928,user_supplied_feed_grain_equivalent_coefficients
2030,poultry,13130305163.216536,3.1,1.0,40703946005.97126,user_supplied_feed_grain_equivalent_coefficients
2035,aquatic,15451916211.792,1.35,1.0,20860086885.9192,user_supplied_feed_grain_equivalent_coefficients
2035,beef,3535558073.693565,9.8,1.0,34648469122.19694,user_supplied_feed_grain_equivalent_coefficients
2035,egg,18486841211.996277,2.46,1.0,45477629381.51083,user_supplied_feed_grain_equivalent_coefficients
2035,milk,17029988525.938643,0.62,1.0,10558592886.081959,user_supplied_feed_grain_equivalent_coefficients
2035,mutton,2381200940.3936243,9.8,1.0,23335769215.857517,user_supplied_feed_grain_equivalent_coefficients
2035,pork,33336909394.561005,3.88,1.0,129347208450.8967,user_supplied_feed_grain_equivalent_coefficients
2035,poultry,12995839167.78857,3.1,1.0,40287101420.14457,user_supplied_feed_grain_equivalent_coefficients
2050,aquatic,14565634485.182804,1.35,1.0,19663606554.996788,user_supplied_feed_grain_equivalent_coefficients
2050,beef,3371046349.9771113,9.8,1.0,33036254229.775692,user_supplied_feed_grain_equivalent_coefficients
2050,egg,18163533389.293003,2.46,1.0,44682292137.66078,user_supplied_feed_grain_equivalent_coefficients
2050,milk,16792292723.099577,0.62,1.0,10411221488.321737,user_supplied_feed_grain_equivalent_coefficients
2050,mutton,2329736076.6077614,9.8,1.0,22831413550.75606,user_supplied_feed_grain_equivalent_coefficients
2050,pork,31606661766.828064,3.88,1.0,122633847655.29288,user_supplied_feed_grain_equivalent_coefficients
2050,poultry,12429573524.157198,3.1,1.0,38531677924.887314,user_supplied_feed_grain_equivalent_coefficients
