year,group,daily_kcal_per_cap_weighted,annual_kcal_total,population_10k
2030,dairyegg,68.97183660252362,36767689835270.4,146050.0427
2030,grain,738.093466948955,393464825630373.6,146050.0427
2030,meatsea,360.85894850220336,192367646656597.28,146050.0427
2030,oil,234.46886507896704,124991285311603.42,146050.0427
2030,vegfruit,114.35243119147718,60959297723028.8,146050.0427
2035,dairyegg,69.70045870340724,36980121909134.32,145358.3009
2035,grain,732.2996881333759,388527310220836.25,145358.3009
2035,meatsea,365.59086349137107,193967083607093.88,145358.3009
2035,oil,233.24283667774415,123748805893491.86,145358.3009
2035,vegfruit,115.1386385678534,61087702576092.695,145358.3009
2050,dairyegg,70.39955594276141,35839650210381.13,139476.4799
2050,grain,729.9283781281954,371598618775594.4,139476.4799
2050,meatsea,372.03441701573206,189398685737560.84,139476.4799
2050,oil,232.58025425084935,118404084323617.48,139476.4799
2050,vegfruit,115.5641154248145,58832437481068.02,139476.4799
