model,group,alpha,beta,delta,tau,omega,kappa,nll,success,message
AIDADS_sat,grain,0.11255787612755212,0.0,0.2721890451017374,0.2721890451017374,0.0,2.2063036213709766,-3008.2790473459913,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
AIDADS_sat,oil,5.7535428253443494e-05,0.0,0.1261848748692536,0.1261848748692536,0.0,2.2063036213709766,-3008.2790473459913,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
AIDADS_sat,vegfruit,5.125527671130803e-05,0.0,0.051655385971349256,0.051655385971349256,0.0,2.2063036213709766,-3008.2790473459913,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
AIDADS_sat,meatsea,0.4006388471130201,0.0,0.044288053108113484,0.044288053108113484,0.0,2.2063036213709766,-3008.2790473459913,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
AIDADS_sat,dairyegg,0.020727764383155316,0.0,0.02288322744261236,0.02288322744261236,0.0,2.2063036213709766,-3008.2790473459913,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
AIDADS_sat,nonfood,0.46596672167130765,1.0,23.89146464677125,23.89146464677125,0.0,2.2063036213709766,-3008.2790473459913,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
MAIDADS_sat,grain,0.003835020490942547,0.0,0.8351005627336515,0.3350331490684431,3.6445536967889183,4.183995067860194,-3228.9322886333616,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
MAIDADS_sat,oil,1.4143694482673265e-05,0.0,0.20643530287332315,0.11623843417885912,3.6445536967889183,4.183995067860194,-3228.9322886333616,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
MAIDADS_sat,vegfruit,1.5349191014645895e-05,0.0,9.309884828617912e-06,0.05779149604933588,3.6445536967889183,4.183995067860194,-3228.9322886333616,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
MAIDADS_sat,meatsea,0.0959428366880994,0.0,0.06732477362467723,0.031016658661711452,3.6445536967889183,4.183995067860194,-3228.9322886333616,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
MAIDADS_sat,dairyegg,0.005962575539405569,0.0,8.500988411437313e-05,0.022122453367908124,3.6445536967889183,4.183995067860194,-3228.9322886333616,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
MAIDADS_sat,nonfood,0.8942300743960552,1.0,3.3900831593409153,0.07340932074091809,3.6445536967889183,4.183995067860194,-3228.9322886333616,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
