province_std,city_std,county_std,区县代码,省,城市,区县名称
北京,市辖区,东城区,110101,北京市,市辖区,东城区
北京,市辖区,西城区,110102,北京市,市辖区,西城区
北京,市辖区,朝阳区,110105,北京市,市辖区,朝阳区
北京,市辖区,丰台区,110106,北京市,市辖区,丰台区
北京,市辖区,石景山区,110107,北京市,市辖区,石景山区
北京,市辖区,海淀区,110108,北京市,市辖区,海淀区
北京,市辖区,门头沟区,110109,北京市,市辖区,门头沟区
北京,市辖区,房山区,110111,北京市,市辖区,房山区
北京,市辖区,通州区,110112,北京市,市辖区,通州区
北京,市辖区,顺义区,110113,北京市,市辖区,顺义区
北京,市辖区,昌平区,110114,北京市,市辖区,昌平区
北京,市辖区,大兴区,110115,北京市,市辖区,大兴区
北京,市辖区,怀柔区,110116,北京市,市辖区,怀柔区
北京,市辖区,平谷区,110117,北京市,市辖区,平谷区
北京,市辖区,密云区,110118,北京市,市辖区,密云区
北京,市辖区,延庆区,110119,北京市,市辖区,延庆区
天津,市辖区,和平区,120101,天津市,市辖区,和平区
天津,市辖区,河东区,120102,天津市,市辖区,河东区
天津,市辖区,河西区,120103,天津市,市辖区,河西区
天津,市辖区,南开区,120104,天津市,市辖区,南开区
天津,市辖区,河北区,120105,天津市,市辖区,河北区
天津,市辖区,红桥区,120106,天津市,市辖区,红桥区
天津,市辖区,东丽区,120110,天津市,市辖区,东丽区
天津,市辖区,西青区,120111,天津市,市辖区,西青区
天津,市辖区,津南区,120112,天津市,市辖区,津南区
天津,市辖区,北辰区,120113,天津市,市辖区,北辰区
天津,市辖区,武清区,120114,天津市,市辖区,武清区
天津,市辖区,宝坻区,120115,天津市,市辖区,宝坻区
天津,市辖区,滨海新区,120116,天津市,市辖区,滨海新区
天津,市辖区,宁河区,120117,天津市,市辖区,宁河区
天津,市辖区,静海区,120118,天津市,市辖区,静海区
天津,市辖区,蓟州区,120119,天津市,市辖区,蓟州区
河北,石家庄市,长安区,130102,河北省,石家庄市,长安区
河北,石家庄市,桥西区,130104,河北省,石家庄市,桥西区
河北,石家庄市,新华区,130105,河北省,石家庄市,新华区
河北,石家庄市,井陉矿区,130107,河北省,石家庄市,井陉矿区
河北,石家庄市,裕华区,130108,河北省,石家庄市,裕华区
河北,石家庄市,藁城区,130109,河北省,石家庄市,藁城区
河北,石家庄市,鹿泉区,130110,河北省,石家庄市,鹿泉区
河北,石家庄市,栾城区,130111,河北省,石家庄市,栾城区
河北,石家庄市,井陉县,130121,河北省,石家庄市,井陉县
河北,石家庄市,正定县,130123,河北省,石家庄市,正定县
河北,石家庄市,行唐县,130125,河北省,石家庄市,行唐县
河北,石家庄市,灵寿县,130126,河北省,石家庄市,灵寿县
河北,石家庄市,高邑县,130127,河北省,石家庄市,高邑县
河北,石家庄市,深泽县,130128,河北省,石家庄市,深泽县
河北,石家庄市,赞皇县,130129,河北省,石家庄市,赞皇县
河北,石家庄市,无极县,130130,河北省,石家庄市,无极县
