term,est,se,evt
-13,-0.254649638360409,0.0669537129851488,-13
-12,-0.171119471817544,0.0502442283312471,-12
-11,-0.178047165852918,0.0433586839628674,-11
-10,-0.156391989943732,0.035690492229043,-10
-9,-0.135236803697436,0.0306451941847073,-9
-8,-0.135584389960802,0.026193230000941,-8
-7,-0.128048704993542,0.0250204062939946,-7
-6,-0.113484902135618,0.0226087693597859,-6
-5,-0.0816459265508541,0.0202104065581007,-5
-4,-0.0567642697492197,0.016786847122868,-4
-3,-0.0484223722440505,0.0151477278186049,-3
-2,-0.0247359503233132,0.0116222518488404,-2
0,0.0441232782431023,0.0124124167324891,0
1,0.0632237884901648,0.0151809432760744,1
2,0.103772596504757,0.0177988026865472,2
3,0.118052812827057,0.0228961151989115,3
4,0.132309492978153,0.0273725975839989,4
5,0.0929290696655839,0.0326325073229182,5
6,0.0552713331287815,0.049262255817421,6
