policy,county_code,cat,year
GI,140426,水果,2008
GI,141122,水果,2008
GI,210922,粮油,2008
GI,210726,水果,2008
GI,220881,粮油,2008
GI,230126,粮油,2008
GI,230722,蔬菜食用菌,2008
GI,420325,蔬菜食用菌,2008
GI,420527,水果,2008
GI,421181,中药材,2008
GI,431125,水果,2008
GI,610827,粮油,2008
GI,610114,水果,2008
GI,610481,畜禽,2008
GI,140830,蔬菜食用菌,2008
GI,140603,粮油,2008
GI,140428,蔬菜食用菌,2008
GI,141181,水果,2008
GI,150421,粮油,2008
GI,210181,水果,2008
GI,220881,蔬菜食用菌,2008
GI,230126,畜禽,2008
GI,230112,蔬菜食用菌,2008
GI,230111,蔬菜食用菌,2008
GI,230722,粮油,2008
GI,370404,水果,2008
GI,370725,水果,2008
GI,420683,粮油,2008
GI,422828,茶,2008
GI,420581,水果,2008
GI,500116,蔬菜食用菌,2008
GI,610803,粮油,2008
GI,611022,水果,2008
GI,371728,水果,2008
GI,370611,水果,2008
GI,150626,畜禽,2008
GI,150624,畜禽,2008
GI,230126,粮油,2008
GI,140622,蔬菜食用菌,2008
GI,141122,水果,2008
GI,420325,蔬菜食用菌,2008
GI,422828,粮油,2008
GI,430528,水果,2008
GI,431125,蔬菜食用菌,2008
GI,430623,蔬菜食用菌,2008
GI,610923,蔬菜食用菌,2008
GI,610111,水果,2008
GI,610828,水果,2008
GI,371328,水果,2008
GI,370481,蔬菜食用菌,2008
GI,150430,粮油,2008
GI,220221,粮油,2008
GI,230229,蔬菜食用菌,2008
GI,230111,蔬菜食用菌,2008
GI,230722,粮油,2008
GI,141181,水果,2008
GI,140622,蔬菜食用菌,2008
GI,420683,水果,2008
GI,420702,水果,2008
GI,431125,蔬菜食用菌,2008
GI,610824,蔬菜食用菌,2008
GI,321281,水产,2009
GI,350112,水果,2009
GI,350481,蔬菜食用菌,2009
GI,370784,粮油,2009
GI,370323,畜禽,2009
GI,511321,水果,2009
GI,510184,茶,2009
GI,511781,蔬菜食用菌,2009
GI,230231,粮油,2009
GI,230882,粮油,2009
GI,231084,水果,2009
GI,230622,粮油,2009
GI,230129,粮油,2009
GI,321281,水产,2009
GI,350881,茶,2009
GI,370323,水果,2009
GI,410726,蔬菜食用菌,2009
GI,530126,水果,2009
GI,621021,蔬菜食用菌,2009
GI,511623,水果,2009
GI,511722,水果,2009
GI,231222,水果,2009
GI,421182,蔬菜食用菌,2009
GI,532502,水果,2009
GI,532627,粮油,2009
GI,621024,蔬菜食用菌,2009
GI,511133,茶,2009
GI,511421,水果,2009
GI,500119,粮油,2009
GI,500116,水果,2009
GI,500229,畜禽,2009
GI,430623,蔬菜食用菌,2009
GI,430225,畜禽,2009
GI,410221,蔬菜食用菌,2009
GI,150783,水果,2009
GI,150783,蔬菜食用菌,2009
GI,530126,畜禽,2009
GI,370783,蔬菜食用菌,2009
GI,370112,蔬菜食用菌,2009
GI,150404,粮油,2009
GI,230208,蔬菜食用菌,2009
GI,350721,水果,2009
GI,421125,蔬菜食用菌,2009
GI,430623,蔬菜食用菌,2009
GI,511922,茶,2009
GI,511421,水果,2009
GI,513221,水果,2009
GI,540522,水果,2009
GI,520381,畜禽,2010
GI,431322,粮油,2010
GI,370783,蔬菜食用菌,2010
GI,370682,畜禽,2010
GI,433122,畜禽,2010
GI,510322,粮油,2010
GI,320322,畜禽,2010
GI,511781,茶,2010
GI,141125,水果,2010
GI,141022,粮油,2010
GI,141025,水果,2010
GI,141028,水果,2010
GI,141023,水果,2010
GI,140725,粮油,2010
GI,140521,蔬菜食用菌,2010
GI,431281,水果,2010
GI,500119,畜禽,2010
GI,511123,蔬菜食用菌,2010
GI,510185,水果,2010
GI,513434,水果,2010
GI,513436,畜禽,2010
GI,210381,蔬菜食用菌,2010
GI,150722,粮油,2010
GI,150722,蔬菜食用菌,2010
GI,350626,蔬菜食用菌,2010
GI,361126,粮油,2010
GI,361181,茶,2010
GI,361130,茶,2010
GI,360281,畜禽,2010
GI,360424,畜禽,2010
GI,360730,畜禽,2010
GI,360732,畜禽,2010
GI,361024,畜禽,2010
GI,370883,水果,2010
GI,433125,茶,2010
GI,430182,畜禽,2010
GI,511824,水果,2010
GI,511181,蔬菜食用菌,2010
GI,532524,水果,2010
GI,540424,中药材,2010
GI,410322,水果,2010
GI,410727,蔬菜食用菌,2010
GI,220622,中药材,2010
GI,371082,水果,2010
GI,370481,蔬菜食用菌,2010
GI,371327,粮油,2010
GI,371323,茶,2010
GI,371082,茶,2010
GI,371327,茶,2010
GI,360124,水产,2010
GI,360481,蔬菜食用菌,2010
GI,620201,蔬菜食用菌,2010
GI,320481,茶,2010
