"term","estimate","std_error_cluster","t_stat","p_value","analysis","outcome"
"household_size_reconstructed",-0.00194425594489247,0.00261337558998146,-0.743963459498855,0.456898581689492,"A1_Mundlak","production_participation"
"child_share",0.0473075602576968,0.015711376489954,3.01103854827396,0.00260355797643953,"A1_Mundlak","production_participation"
"elderly_share",0.0317307593454403,0.0114073987640083,2.78159464763822,0.00540925552680733,"A1_Mundlak","production_participation"
"female_share",0.00045497198510783,0.0115328248892866,0.0394501771660884,0.968531475427102,"A1_Mundlak","production_participation"
"household_size_reconstructed_vm",-0.0325221196384519,0.0155301679623092,-2.09412542848095,0.036248808424441,"A1_Mundlak","production_participation"
"child_share_vm",-0.016079542588472,0.124061836014272,-0.129609097407056,0.896875705274765,"A1_Mundlak","production_participation"
"elderly_share_vm",0.075548266727971,0.0573185810458616,1.3180414683944,0.187489766496878,"A1_Mundlak","production_participation"
"female_share_vm",0.0516917229876591,0.0885377771567994,0.583838047979379,0.559329277183181,"A1_Mundlak","production_participation"
"household_size_reconstructed",0.00223828221512606,0.00223403459989934,1.00190132025122,0.316391254913617,"A1_Mundlak","self_suff_rate"
"child_share",0.00235410299603742,0.0140093997924131,0.168037391388623,0.866553863220338,"A1_Mundlak","self_suff_rate"
"elderly_share",0.0247989797254335,0.00929144164533907,2.66901312756709,0.00760744768411145,"A1_Mundlak","self_suff_rate"
"female_share",0.00368258101463089,0.0114889278688562,0.320533043349807,0.748564285630549,"A1_Mundlak","self_suff_rate"
"household_size_reconstructed_vm",-0.0291799462561572,0.00963472213279987,-3.02862354035295,0.00245670607800147,"A1_Mundlak","self_suff_rate"
"child_share_vm",0.0198262435349313,0.0875735202818002,0.226395415773319,0.820893893065531,"A1_Mundlak","self_suff_rate"
"elderly_share_vm",0.0360903536123945,0.0357535349050962,1.00942057081048,0.312772977070344,"A1_Mundlak","self_suff_rate"
"female_share_vm",0.0118040368969427,0.0625720124794788,0.188647231073381,0.850369312334594,"A1_Mundlak","self_suff_rate"
"household_size_reconstructed",0.0225982297372959,0.00881439102590732,2.5637879770565,0.0103536770345905,"A1_Mundlak","ihs_selfprod_amount"
"child_share",-0.00430774980013022,0.053440677549012,-0.08060806856686,0.93575364930101,"A1_Mundlak","ihs_selfprod_amount"
"elderly_share",0.0572636568874115,0.0324640615827424,1.76390919976114,0.0777472677200752,"A1_Mundlak","ihs_selfprod_amount"
"female_share",0.00635362856517516,0.0397045370306557,0.160022733932637,0.872863165896106,"A1_Mundlak","ihs_selfprod_amount"
"household_size_reconstructed_vm",-0.0517423454290569,0.0411347080045535,-1.25787559798234,0.208436749984996,"A1_Mundlak","ihs_selfprod_amount"
"child_share_vm",-0.386385582840336,0.361485751946929,-1.06888191514963,0.285122881980204,"A1_Mundlak","ihs_selfprod_amount"
"elderly_share_vm",0.0102619610011649,0.130065936344247,0.0788981441997571,0.937113639355827,"A1_Mundlak","ihs_selfprod_amount"
"female_share_vm",0.14255572710931,0.246930033339489,0.577312225578159,0.563728556386479,"A1_Mundlak","ihs_selfprod_amount"
