"term","estimate","std_error_cluster","t_stat","p_value","analysis","outcome","tau"
"household_size_reconstructed",0.000343801457578082,0.000308001029328418,1.11623476820102,0.264321655652606,"A2_RIF","self_suff_rate",0.5
"child_share",0.00130530914228025,0.00189599699695832,0.688455279398809,0.491166122959021,"A2_RIF","self_suff_rate",0.5
"elderly_share",0.00192375801974847,0.00123212196771462,1.56133732711277,0.118444180801589,"A2_RIF","self_suff_rate",0.5
"female_share",0.00138208860987538,0.00152251311247101,0.90776795191752,0.364000833862698,"A2_RIF","self_suff_rate",0.5
"household_size_reconstructed",0.000547430849306079,0.000512112749155681,1.06896547724818,0.285085225699294,"A2_RIF","self_suff_rate",0.6
"child_share",0.000945713228668891,0.00330939013428947,0.285766618710229,0.775056876806579,"A2_RIF","self_suff_rate",0.6
"elderly_share",0.00273610040788088,0.00193581207743925,1.4134122003724,0.157534560405314,"A2_RIF","self_suff_rate",0.6
"female_share",0.00262235072006363,0.00272059890362372,0.96388729576079,0.335102433859913,"A2_RIF","self_suff_rate",0.6
"household_size_reconstructed",0.00860388618454674,0.00695491568049948,1.23709424812593,0.216052094919674,"A2_RIF","self_suff_rate",0.7
"child_share",-0.0472147856807423,0.0461359936934665,-1.02338287096282,0.306126854995292,"A2_RIF","self_suff_rate",0.7
"elderly_share",0.0484731713425454,0.0280336751870183,1.72910512157864,0.0837902827050111,"A2_RIF","self_suff_rate",0.7
"female_share",0.024363548580944,0.0375104214052873,0.649514126159879,0.516006118805252,"A2_RIF","self_suff_rate",0.7
"household_size_reconstructed",0.0160277735308835,0.00984552150421921,1.6279252982196,0.103540726451342,"A2_RIF","self_suff_rate",0.8
"child_share",-0.0697430051212357,0.0608754258168454,-1.14566763493483,0.25193270034748,"A2_RIF","self_suff_rate",0.8
"elderly_share",0.0856581920900645,0.0390402853012557,2.19409749260489,0.028228401497247,"A2_RIF","self_suff_rate",0.8
"female_share",0.0408198670045663,0.0522188523367812,0.781707471112193,0.434386509955636,"A2_RIF","self_suff_rate",0.8
"household_size_reconstructed",0.00662677835008491,0.00575688994769409,1.15110387905526,0.249689502361897,"A2_RIF","self_suff_rate",0.9
"child_share",-0.0881155850742168,0.0342053084884188,-2.57607923939791,0.00999277430994597,"A2_RIF","self_suff_rate",0.9
"elderly_share",0.0414540908474963,0.022570870831969,1.83661902795445,0.0662661563021067,"A2_RIF","self_suff_rate",0.9
"female_share",0.000812275238203363,0.0299507330638921,0.0271203792064316,0.978363720481817,"A2_RIF","self_suff_rate",0.9
