"variable","rank","value","nhCode","data_year","provn","countyn","townn_std","viln_std","food_category","food_category_label"
"cons_kg_month",1,754.308852112675,"61048210121108",2023,"陕西省","彬州市","北极镇","东秦村","zhushi","主食"
"cons_kg_month",2,720.790584415585,"35018100320710",2024,"福建省","福清","龙山街道","塘头村","zhushi","主食"
"cons_kg_month",3,719.7438832998,"22052110120802",2023,"吉林省","通化市通化县","二密镇","迎门岔村","zhushi","主食"
"cons_kg_month",4,640.525,"42038110220205",2024,"湖北省","丹江口市","丁家营镇","花园村","zhushi","主食"
"cons_kg_month",5,413.673469387755,"37152510922603",2023,"山东省","冠县","辛集镇","邹村","zhushi","主食"
"cons_kg_month",6,390.192085332716,"22082210721209",2023,"吉林省","通榆县","乌兰花镇","万宝村","zhushi","主食"
"cons_kg_month",7,370.190714285714,"22052110620601",2023,"吉林省","通化县","兴林镇","兴华村","zhushi","主食"
"cons_kg_month",8,333.311688311688,"37078310020104",2023,"山东省","寿光市","化龙镇","南柴村","zhushi","主食"
"cons_kg_month",9,332.97619047619,"62082511420405",2023,"甘肃省","庄浪县","南坪镇","刘靳村","zhushi","主食"
"cons_kg_month",10,326.862637362637,"53342320120505",2024,"云南省","维西县","永春乡","拖枝村","zhushi","主食"
"selfprod_kg_month",1,270.059523809524,"62082511420405",2023,"甘肃省","庄浪县","南坪镇","刘靳村","zhushi","主食"
"selfprod_kg_month",2,248.618784530387,"53252821320806",2024,"云南省","元阳县","马街乡","登云村","zhushi","主食"
"selfprod_kg_month",3,248.618784530387,"53252821320809",2024,"云南省","元阳县","马街乡","登云村","zhushi","主食"
"selfprod_kg_month",4,231.428571428572,"22082220520604",2023,"吉林省","白城市通榆县","十花道乡","海金村","zhushi","主食"
"selfprod_kg_month",5,227.13982193444,"22082210721209",2023,"吉林省","通榆县","乌兰花镇","万宝村","zhushi","主食"
"selfprod_kg_month",6,214.285714285715,"62112610620202",2023,"甘肃省","岷县","十里镇","中寨村","zhushi","主食"
"selfprod_kg_month",7,171.46978021978,"62102210620902",2023,"甘肃省","庆阳市环县","虎洞镇","张家湾村","zhushi","主食"
"selfprod_kg_month",8,162.857142857143,"62052211320206",2023,"甘肃省","秦安县","刘坪镇","彭洼村","shucai","蔬菜"
"selfprod_kg_month",9,161.126373626373,"62112610821802",2023,"甘肃省","岷县","中寨镇","峪谷村","shucai","蔬菜"
"selfprod_kg_month",10,158.654073199527,"53062410200101",2024,"云南省","大关县","玉碗镇","出水源社区","shucai","蔬菜"
"purchase_qty_kg_month",1,502.5,"51018310321407",2024,"四川省","邛崃市","桑园镇","太山村","zhushi","主食"
"purchase_qty_kg_month",2,500.4,"35072420420106",2024,"福建省","松溪县","花桥乡","花桥村","zhushi","主食"
"purchase_qty_kg_month",3,490,"22042110920610",2023,"吉林省","辽源市东丰县","沙河镇","友好村","zhushi","主食"
"purchase_qty_kg_month",4,411,"61072511220407",2023,"陕西省","勉县","元墩镇","元墩村","zhushi","主食"
"purchase_qty_kg_month",5,404.8,"61083100120001",2023,"陕西省","子洲县","双湖峪街道","双湖峪村","zhushi","主食"
"purchase_qty_kg_month",6,387.5,"51018310321405",2024,"四川省","邛崃市","桑园镇","太山村","zhushi","主食"
"purchase_qty_kg_month",7,375,"42068300201303",2024,"湖北省","枣阳市","南城街道","惠岗社区","zhushi","主食"
"purchase_qty_kg_month",8,355.85,"51018310321401",2024,"四川省","邛崃市","桑园镇","太山村","zhushi","主食"
"purchase_qty_kg_month",9,353,"51343710721301",2024,"四川省","雷波县","马颈子镇","马鞍村","zhushi","主食"
"purchase_qty_kg_month",10,352.75,"51162210024706",2024,"四川省","广安市武胜县","沿口镇","马军村","zhushi","主食"
"price_hedonic_imputed_w99_yuan_per_kg",1,200,"22022110020904",2023,"吉林省","吉林市永吉县","口前镇","春登村","nailei","奶类"
"price_hedonic_imputed_w99_yuan_per_kg",2,200,"22022117131105",2023,"吉林省","永吉县","万昌镇","吴家村","nailei","奶类"
"price_hedonic_imputed_w99_yuan_per_kg",3,200,"22042110920310",2023,"吉林省","辽源市东丰县","沙河镇","盈仓村","nailei","奶类"
"price_hedonic_imputed_w99_yuan_per_kg",4,200,"35018110321103",2024,"福建省","福清市","海口镇","前村村","nailei","奶类"
"price_hedonic_imputed_w99_yuan_per_kg",5,200,"35018110321203",2024,"福建省","福清市","海口镇","城里村","nailei","奶类"
"price_hedonic_imputed_w99_yuan_per_kg",6,200,"35062910020208",2024,"福建省","漳州市福安县","华丰镇","绵良村","nailei","奶类"
"price_hedonic_imputed_w99_yuan_per_kg",7,200,"35062910521205",2024,"福建省","漳州市华安县","仙都镇","岭埔村","nailei","奶类"
"price_hedonic_imputed_w99_yuan_per_kg",8,200,"35062910521207",2024,"福建省","漳州市华安县","仙都镇","岭埔村","nailei","奶类"
"price_hedonic_imputed_w99_yuan_per_kg",9,200,"35072420020308",2024,"福建省","松溪县","河东乡","长江村","nailei","奶类"
"price_hedonic_imputed_w99_yuan_per_kg",10,200,"35072420020309",2024,"福建省","松溪县","河东乡","长江村","nailei","奶类"
"village_price_category_median_yuan_per_kg",1,2000,"42282810122901",2024,"湖北省","鹤峰县","容美镇","杨柳坪村","shucai","蔬菜"
"village_price_category_median_yuan_per_kg",2,2000,"42282810122902",2024,"湖北省","鹤峰县","容美镇","杨柳坪村","shucai","蔬菜"
"village_price_category_median_yuan_per_kg",3,2000,"42282810122903",2024,"湖北省","鹤峰县","容美镇","杨柳坪村","shucai","蔬菜"
"village_price_category_median_yuan_per_kg",4,2000,"42282810122904",2024,"湖北省","鹤峰县","容美镇","杨柳坪村","shucai","蔬菜"
"village_price_category_median_yuan_per_kg",5,2000,"42282810122905",2024,"湖北省","鹤峰县","容美镇","杨柳坪村","shucai","蔬菜"
"village_price_category_median_yuan_per_kg",6,2000,"42282810122906",2024,"湖北省","鹤峰县","容美镇","杨柳坪村","shucai","蔬菜"
"village_price_category_median_yuan_per_kg",7,2000,"42282810122907",2024,"湖北省","鹤峰县","容美镇","杨柳坪村","shucai","蔬菜"
"village_price_category_median_yuan_per_kg",8,2000,"42282810122908",2024,"湖北省","鹤峰县","容美镇","杨柳坪村","shucai","蔬菜"
"village_price_category_median_yuan_per_kg",9,2000,"42282810122909",2024,"湖北省","鹤峰县","容美镇","杨柳坪村","shucai","蔬菜"
"village_price_category_median_yuan_per_kg",10,2000,"42282810122910",2024,"湖北省","鹤峰县","容美镇","杨柳坪村","shucai","蔬菜"
"total_sown_area",1,317.965920000001,"22042111020504",2023,"吉林省","辽源市东丰县","南屯基镇","团林村","zhushi","主食"
"total_sown_area",2,317.965920000001,"22042111020504",2023,"吉林省","辽源市东丰县","南屯基镇","团林村","doulei","豆类"
"total_sown_area",3,317.965920000001,"22042111020504",2023,"吉林省","辽源市东丰县","南屯基镇","团林村","roulei","肉类和水产品及加工品"
"total_sown_area",4,317.965920000001,"22042111020504",2023,"吉林省","辽源市东丰县","南屯基镇","团林村","danlei","蛋类"
"total_sown_area",5,317.965920000001,"22042111020504",2023,"吉林省","辽源市东丰县","南屯基镇","团林村","nailei","奶类"
"total_sown_area",6,317.965920000001,"22042111020504",2023,"吉林省","辽源市东丰县","南屯基镇","团林村","youzhi","油脂"
"total_sown_area",7,317.965920000001,"22042111020504",2023,"吉林省","辽源市东丰县","南屯基镇","团林村","shucai","蔬菜"
"total_sown_area",8,317.965920000001,"22042111020504",2023,"吉林省","辽源市东丰县","南屯基镇","团林村","shuiguo","水果"
"total_sown_area",9,317.965920000001,"22052110620104",2023,"吉林省","通化市通化县","兴林镇","兴林村","zhushi","主食"
"total_sown_area",10,317.965920000001,"22052110620104",2023,"吉林省","通化市通化县","兴林镇","兴林村","doulei","豆类"
