"module","variable","n","missing","mean","sd","min","p25","median","p75","max"
"revised_analysis","production_participation",28208,0,0.436507373794668,0.495961093783397,0,0,0,1,1
"revised_analysis","log_selfprod_amount",28208,0,0.548508069092235,1.03361283677523,0,0,0,0.599889687073364,5.60233844181485
"revised_analysis","ihs_selfprod_amount",28208,0,0.673442857420157,1.24831709815747,0,0,0,0.749691845288821,6.29179300164079
"revised_analysis","self_suff_rate",27494,714,0.221555253097729,0.344679834888292,0,0,0,0.375,1
"revised_analysis","household_size_reconstructed",28208,0,2.8848199092456,1.40307412701182,0,2,2,4,8
"revised_analysis","child_share",28064,144,0.0819279571862953,0.165971319366917,0,0,0,0,1
"revised_analysis","elderly_share",28064,144,0.214231543886084,0.342846408038413,0,0,0,0.333333333333333,1
"revised_analysis","female_share",28064,144,0.507056871708204,0.207895000955722,0,0.5,0.5,0.5,1
"revised_analysis","dependency_ratio",24348,3860,0.452663463118121,0.777844236869357,0,0,0,0.666666666666667,7
"revised_analysis","num_children",28208,0,0.33862733976177,0.720071955753451,0,0,0,0,5
"revised_analysis","num_elderly",28208,0,0.555977027793534,0.826357301878634,0,0,0,1,4
"revised_analysis","num_adult_male",28208,0,0.501134429948951,0.628834215513893,0,0,0,1,4
"revised_analysis","num_adult_female",28208,0,0.561649177538287,0.652486023713335,0,0,0,1,4
"revised_analysis","total_sown_area",28208,0,23.2288188769144,52.6101064700656,0,1,5.2,16.03,317.965920000001
"revised_analysis","agricultural_labor_days",28208,0,289.116030913216,253.280597054227,0,65,240,420,2190
"revised_analysis","offfarm_labor_days",28208,0,194.615321894498,250.42768952958,0,0,100,305,2155
"revised_analysis","price_hedonic_imputed_w99_yuan_per_jin",28208,0,10.8805066449671,12.5817216648113,0.309046257359126,4.5,8.28746874997494,13.8662827798314,200
