"outcome","conceptual_outcome","spec","term","estimate","std_error_cluster","t_stat","p_value","direction","marginal_effect_interpretation","sign_stable_across_M0_M3","stable_direction","n","n_clusters","r_squared"
"production_participation","self_provisioning_participation","M0","household_size_reconstructed",-0.00198763605738017,0.00359320224703383,-0.55316565022772,0.58014998573305,"negative","LPM coefficient: percentage-point change in self-provisioning participation for a one-unit change in the covariate.",TRUE,"negative",27568,350,0.343838183023016
"production_participation","self_provisioning_participation","M1","household_size_reconstructed",-0.00578093866042542,0.00360775033138673,-1.60236660783657,0.10907456439965,"negative","LPM coefficient: percentage-point change in self-provisioning participation for a one-unit change in the covariate.",TRUE,"negative",27568,350,0.35938652583825
"production_participation","self_provisioning_participation","M2","household_size_reconstructed",-0.0069936542678546,0.00309780240636607,-2.25761793375925,0.0239694895947343,"negative","LPM coefficient: percentage-point change in self-provisioning participation for a one-unit change in the covariate.",TRUE,"negative",27568,350,0.381226679305863
"production_participation","self_provisioning_participation","M3","household_size_reconstructed",-0.00698333437971358,0.00308515629073989,-2.26352694049053,0.023603225814149,"negative","LPM coefficient: percentage-point change in self-provisioning participation for a one-unit change in the covariate.",TRUE,"negative",27568,350,0.386697140272122
"production_participation","self_provisioning_participation","M0","child_share",-0.0546354064241934,0.0268695683692067,-2.03335631125385,0.0420165378428777,"negative","LPM coefficient: percentage-point change in self-provisioning participation for a one-unit change in the covariate.",FALSE,"not_stable",27568,350,0.343838183023016
"production_participation","self_provisioning_participation","M1","child_share",0.0387727160553293,0.0266975320722256,1.45229588826549,0.146419350277721,"positive","LPM coefficient: percentage-point change in self-provisioning participation for a one-unit change in the covariate.",FALSE,"not_stable",27568,350,0.35938652583825
"production_participation","self_provisioning_participation","M2","child_share",0.0358611607032425,0.0231270923890173,1.55061259323167,0.120994552393629,"positive","LPM coefficient: percentage-point change in self-provisioning participation for a one-unit change in the covariate.",FALSE,"not_stable",27568,350,0.381226679305863
"production_participation","self_provisioning_participation","M3","child_share",0.0424826515226798,0.0220556710830622,1.92615547097566,0.0540849640083827,"positive","LPM coefficient: percentage-point change in self-provisioning participation for a one-unit change in the covariate.",FALSE,"not_stable",27568,350,0.386697140272122
"production_participation","self_provisioning_participation","M0","elderly_share",-0.00387290204173676,0.0121524419064208,-0.318693318722264,0.749959081576775,"negative","LPM coefficient: percentage-point change in self-provisioning participation for a one-unit change in the covariate.",FALSE,"not_stable",27568,350,0.343838183023016
"production_participation","self_provisioning_participation","M1","elderly_share",0.0331397911228875,0.0143875221662559,2.30337029128008,0.0212580178124167,"positive","LPM coefficient: percentage-point change in self-provisioning participation for a one-unit change in the covariate.",FALSE,"not_stable",27568,350,0.35938652583825
